,City,State,Zipcode,Latitude,Longitude,Longitude_Latitude
426,Antelope Vly,CA,93534,34.675,-118.1459,"(-118.1459, 34.675)"
441,Anza Vly,CA,92536,33.534,-116.7992,"(-116.7992, 33.534)"
449,Arden Arcade-Del Paso Manor,CA,95860,38.6106,-121.381,"(-121.381, 38.6106)"
475,Atascadero,CA,93432,35.4181,-120.4615,"(-120.4615, 35.4181)"
680,Auburn,CA,95603,38.8999,-121.0727,"(-121.0727, 38.8999)"
800,Bakersfield,CA,93285,35.7132,-118.4545,"(-118.4545, 35.7132)"
817,Banning,CA,92220,33.9306,-116.8806,"(-116.8806, 33.9306)"
822,Barstow,CA,92311,34.8939,-117.0246,"(-117.0246, 34.8939)"
853,Bear Valley,CA,95223,38.259,-120.3436,"(-120.3436, 38.259)"
1028,Big Bear Lake,CA,92386,34.2414,-116.825,"(-116.825, 34.2414)"
1112,Bishop Paiute Tribe,CA,93514,37.5054,-118.6297,"(-118.6297, 37.5054)"
1238,Brawley,CA,92273,32.7471,-115.7087,"(-115.7087, 32.7471)"
1507,C San Bernardino,CA,92316,34.0755,-117.3989,"(-117.3989, 34.0755)"
1515,C San Bernardino M,CA,92378,34.2315,-117.2246,"(-117.2246, 34.2315)"
1527,C San Bernardino-2,CA,92313,34.0338,-117.3111,"(-117.3111, 34.0338)"
1559,Calexico,CA,92232,32.6796,-115.5028,"(-115.5028, 32.6796)"
1628,Capistrano Vly,CA,92624,33.4622,-117.672,"(-117.672, 33.4622)"
1634,Carmel Valley,CA,93924,36.4779,-121.7289,"(-121.7289, 36.4779)"
1635,Carpinteria,CA,93013,34.3978,-119.52,"(-119.52, 34.3978)"
1636,Carrizo Plains,CA,93254,34.9342,-119.6159,"(-119.6159, 34.9342)"
1773,Central Coastal,CA,92677,33.5214,-117.6862,"(-117.6862, 33.5214)"
1788,Central LA CO,CA,90004,34.0756,-118.2997,"(-118.2997, 34.0756)"
2241,Central Orange,CA,90680,33.8085,-117.9953,"(-117.9953, 33.8085)"
2275,Central Orange-2,CA,92799,33.6959,-117.9109,"(-117.9109, 33.6959)"
2559,Chico,CA,95926,39.7347,-121.8548,"(-121.8548, 39.7347)"
2867,Coachella Vly,CA,92234,33.8088,-116.4656,"(-116.4656, 33.8088)"
2902,Colfax,CA,95713,39.0899,-120.9499,"(-120.9499, 39.0899)"
3148,Concord,CA,94517,37.9347,-121.9328,"(-121.9328, 37.9347)"
3227,Cool,CA,95631,38.9829,-120.8756,"(-120.8756, 38.9829)"
3650,Davenport,CA,95017,37.0207,-122.2077,"(-122.2077, 37.0207)"
3665,Davis,CA,95616,38.5467,-121.7412,"(-121.7412, 38.5467)"
3848,Death Valley National Park,CA,92328,36.4569,-116.8663,"(-116.8663, 36.4569)"
4359,E San Bernardino,CA,92318,34.0482,-117.232,"(-117.232, 34.0482)"
4368,E San Fernando Vly,CA,91201,34.1724,-118.2908,"(-118.2908, 34.1724)"
4439,E San Gabriel V-2,CA,91740,34.1113,-117.8536,"(-117.8536, 34.1113)"
4441,E San Gabriel Vly,CA,91731,34.078,-118.0508,"(-118.0508, 34.078)"
4498,East Riverside CO,CA,92239,33.7386,-115.3953,"(-115.3953, 33.7386)"
4734,El Centro,CA,92244,32.7933,-115.5717,"(-115.5717, 32.7933)"
4771,Elk Grove,CA,95758,38.4157,-121.4186,"(-121.4186, 38.4157)"
4827,Eureka,CA,95501,40.7975,-124.1669,"(-124.1669, 40.7975)"
4887,Fairfield,CA,94509,38.0017,-121.828,"(-121.828, 38.0017)"
5047,Folsom,CA,95762,38.6445,-121.0675,"(-121.0675, 38.6445)"
5049,Forest Ranch,CA,95942,39.9005,-121.6563,"(-121.6563, 39.9005)"
5257,Fort Bragg,CA,95456,39.2606,-123.726,"(-123.726, 39.2606)"
5388,Fremont,CA,94587,37.5846,-122.0176,"(-122.0176, 37.5846)"
5401,Fresno,CA,93612,36.8184,-119.71,"(-119.71, 36.8184)"
5508,Goleta,CA,93106,34.4142,-119.8461,"(-119.8461, 34.4142)"
5649,Greeley Hill,CA,95311,37.7411,-120.3321,"(-120.3321, 37.7411)"
5799,Gridley,CA,95948,39.3643,-121.6989,"(-121.6989, 39.3643)"
5919,Hanford,CA,93230,36.3309,-119.6439,"(-119.6439, 36.3309)"
5998,Healdsburg,CA,95448,38.6157,-122.8697,"(-122.8697, 38.6157)"
6002,Hemet and San Jacinto,CA,92543,33.7476,-116.9793,"(-116.9793, 33.7476)"
6039,Hesperia,CA,92344,34.4101,-117.3736,"(-117.3736, 34.4101)"
6101,Hollister,CA,95045,36.8413,-121.5347,"(-121.5347, 36.8413)"
6536,Imperial Valley,CA,92243,32.793,-115.5588,"(-115.5588, 32.793)"
7083,King City,CA,93927,36.322,-121.2457,"(-121.2457, 36.322)"
7223,La Grange,CA,95369,37.5189,-120.4389,"(-120.4389, 37.5189)"
7287,Lake Elsinore,CA,92530,33.6716,-117.3301,"(-117.3301, 33.6716)"
7529,Lassen Volcanic National Park,CA,96063,40.124,-121.6474,"(-121.6474, 40.124)"
